formula,unsat_count,solution_time
0.cnf,1,6.884657144546509
1.cnf,1,12.668734550476074
2.cnf,1,9.467056274414062
3.cnf,1,6.1247193813323975
4.cnf,2,5758.675543308258
5.cnf,2,1248.8708362579346
6.cnf,2,2050.134140729904
7.cnf,2,1830.7480940818787
8.cnf,2,1174.6725904941559
9.cnf,2,2038.2302050590515
10.cnf,2,1323.9623901844025
11.cnf,1,7.069439888000488
12.cnf,1,9.131275177001953
13.cnf,1,6.005041837692261
14.cnf,2,5417.641504764557
15.cnf,2,1491.6355755329132
16.cnf,2,416.45131373405457
17.cnf,cutoff,cutoff
18.cnf,1,5.3037800788879395
19.cnf,2,1634.9788196086884
20.cnf,2,1507.615825176239
21.cnf,1,5.4797892570495605
22.cnf,2,7171.441508769989
23.cnf,2,1064.9647562503815
24.cnf,2,788.1086919307709
25.cnf,2,7109.262444257736
26.cnf,2,747.3574130535126
27.cnf,2,1527.0951693058014
28.cnf,2,1346.70476770401
29.cnf,2,1943.3627297878265
30.cnf,2,5282.564245700836
31.cnf,2,1399.6807053089142
32.cnf,2,736.1298971176147
33.cnf,cutoff,cutoff
34.cnf,2,1017.9222373962402
35.cnf,2,1635.9652247428894
36.cnf,2,2448.1182358264923
37.cnf,2,932.9359049797058
38.cnf,2,4180.245239496231
39.cnf,1,3.2528128623962402
40.cnf,1,6.711050033569336
41.cnf,2,4365.154294729233
42.cnf,1,6.0022547245025635
43.cnf,1,5.526570796966553
44.cnf,2,664.2306928634644
45.cnf,1,15.393487930297852
46.cnf,2,2571.3587329387665
47.cnf,1,7.469043254852295
48.cnf,2,1012.9049878120422
49.cnf,2,2203.4509811401367
50.cnf,2,2743.636068344116
51.cnf,cutoff,cutoff
52.cnf,2,6529.9003365039825
53.cnf,2,1464.1192035675049
54.cnf,2,334.6788902282715
55.cnf,2,1026.9168741703033
56.cnf,2,2411.3366940021515
57.cnf,2,1283.6128962039948
58.cnf,2,1080.505871772766
59.cnf,2,1685.18288064003
60.cnf,2,1456.7609477043152
61.cnf,2,1677.9279952049255
62.cnf,2,2135.001591205597
63.cnf,1,8.033759593963623
64.cnf,2,2155.671857357025
65.cnf,1,4.384754657745361
66.cnf,2,795.3436155319214
67.cnf,2,5516.969442129135
68.cnf,1,9.657475471496582
69.cnf,2,893.9793889522552
70.cnf,2,753.7942082881927
71.cnf,2,1229.3358581066132
72.cnf,2,5991.164361000061
73.cnf,2,1387.3636112213135
74.cnf,2,769.622706413269
75.cnf,2,1360.201431274414
76.cnf,2,1218.681887626648
77.cnf,1,5.074158430099487
78.cnf,cutoff,cutoff
79.cnf,2,1160.5178458690643
80.cnf,1,2.6313908100128174
81.cnf,cutoff,cutoff
82.cnf,cutoff,cutoff
83.cnf,2,1891.1760721206665
84.cnf,2,1196.3547053337097
85.cnf,2,1065.2442741394043
86.cnf,2,1536.0112657546997
87.cnf,2,1313.0248820781708
88.cnf,cutoff,cutoff
89.cnf,cutoff,cutoff
90.cnf,2,1209.3341934680939
91.cnf,2,849.9756424427032
92.cnf,2,3401.1776752471924
93.cnf,2,1040.4983158111572
94.cnf,2,1052.572506904602
95.cnf,cutoff,cutoff
96.cnf,1,5.676136016845703
97.cnf,cutoff,cutoff
98.cnf,cutoff,cutoff
99.cnf,2,4398.524311065674
